path,scan_root,depth,size_bytes,size_human,category,risk
C:\Program Files\Windows Media Player,C:\Program Files,1,5036681,4.80 MB,directory,manual_review
C:\Program Files (x86)\MySQL\MySQL Installer for Windows,C:\Program Files (x86),2,4765817,4.55 MB,directory,manual_review
C:\Program Files (x86)\MySQL,C:\Program Files (x86),1,4765817,4.55 MB,directory,manual_review
C:\Program Files\Zotero\integration,C:\Program Files,2,4610901,4.40 MB,directory,manual_review
C:\Program Files\dotnet\host,C:\Program Files,2,4461960,4.26 MB,directory,manual_review
C:\Program Files (x86)\Epic Games\DirectXRedist,C:\Program Files (x86),2,4330433,4.13 MB,directory,manual_review
C:\Program Files\CMake\man,C:\Program Files,2,4315023,4.12 MB,directory,manual_review
C:\Program Files (x86)\Windows Kits\NETFXSDK,C:\Program Files (x86),2,4049131,3.86 MB,directory,manual_review
C:\Program Files\WindowsPowerShell\Modules,C:\Program Files,2,3956904,3.77 MB,directory,manual_review
C:\Program Files\WindowsPowerShell,C:\Program Files,1,3956904,3.77 MB,directory,manual_review
C:\Program Files\Cheat Engine 7.5\win64,C:\Program Files,2,3786160,3.61 MB,directory,manual_review
C:\Program Files (x86)\Panda Security\Panda Devices Agent,C:\Program Files (x86),2,3555240,3.39 MB,directory,manual_review
C:\Program Files\Common Files\Oracle,C:\Program Files,2,3484128,3.32 MB,directory,manual_review
C:\Program Files (x86)\Windows Media Player,C:\Program Files (x86),1,3463269,3.30 MB,directory,manual_review
C:\Program Files (x86)\WindowsPowerShell\Modules,C:\Program Files (x86),2,3440928,3.28 MB,directory,manual_review
C:\Program Files (x86)\WindowsPowerShell,C:\Program Files (x86),1,3440928,3.28 MB,directory,manual_review
C:\Program Files (x86)\NVIDIA Corporation\NvTelemetry,C:\Program Files (x86),2,3353312,3.20 MB,directory,manual_review
C:\Program Files (x86)\Windows Kits\8.1,C:\Program Files (x86),2,3339832,3.19 MB,directory,manual_review
C:\Program Files\Notepad++\themes,C:\Program Files,2,3259230,3.11 MB,directory,manual_review
C:\Program Files\Microsoft OneDrive\26.088.0510.0004,C:\Program Files,2,3144440,3.00 MB,directory,manual_review
C:\Program Files\DB Browser for SQLite\translations,C:\Program Files,2,3120871,2.98 MB,directory,manual_review
C:\Program Files\Microsoft SQL Server\90,C:\Program Files,2,3033519,2.89 MB,directory,manual_review
C:\Program Files\Windows NT\TableTextService,C:\Program Files,2,3008856,2.87 MB,directory,manual_review
C:\Program Files\Windows NT,C:\Program Files,1,3008856,2.87 MB,directory,manual_review
C:\Program Files\NVIDIA Corporation\NvContainer,C:\Program Files,2,2961120,2.82 MB,directory,manual_review
C:\Program Files (x86)\Windows NT\TableTextService,C:\Program Files (x86),2,2943832,2.81 MB,directory,manual_review
C:\Program Files (x86)\Windows NT,C:\Program Files (x86),1,2943832,2.81 MB,directory,manual_review
C:\Program Files (x86)\Steam\friends,C:\Program Files (x86),2,2859753,2.73 MB,directory,manual_review
C:\Program Files\HP\HP Media Network,C:\Program Files,2,2791611,2.66 MB,directory,manual_review
C:\Program Files\Wireshark\plugins,C:\Program Files,2,2623088,2.50 MB,directory,manual_review
C:\Program Files\Internet Explorer,C:\Program Files,1,2588354,2.47 MB,directory,manual_review
C:\Program Files\Cheat Engine 7.5\win32,C:\Program Files,2,2584992,2.47 MB,directory,manual_review
C:\Program Files\Notepad++\autoCompletion,C:\Program Files,2,2295804,2.19 MB,directory,manual_review
C:\Program Files\Cheat Engine 7.5\autorun,C:\Program Files,2,1923399,1.83 MB,directory,manual_review
C:\Program Files\Npcap,C:\Program Files,1,1904555,1.82 MB,directory,manual_review
C:\Program Files (x86)\Internet Explorer,C:\Program Files (x86),1,1804047,1.72 MB,directory,manual_review
C:\Program Files\Notepad++\updater,C:\Program Files,2,1782383,1.70 MB,directory,manual_review
C:\Program Files\Microsoft SQL Server\Client SDK,C:\Program Files,2,1591997,1.52 MB,directory,manual_review
C:\Program Files\dotnet\sdk-manifests,C:\Program Files,2,1578839,1.51 MB,directory,manual_review
C:\Program Files\PowerToys\Tools,C:\Program Files,2,1566000,1.49 MB,directory,manual_review
C:\Program Files\DB Browser for SQLite\imageformats,C:\Program Files,2,1538928,1.47 MB,directory,manual_review
C:\Program Files (x86)\MSBuild,C:\Program Files (x86),1,1504869,1.44 MB,directory,manual_review
C:\Program Files (x86)\MSBuild\15.0,C:\Program Files (x86),2,1479112,1.41 MB,directory,manual_review
C:\Program Files\DB Browser for SQLite\platforms,C:\Program Files,2,1477104,1.41 MB,directory,manual_review
C:\Program Files\Zotero\fonts,C:\Program Files,2,1474284,1.41 MB,directory,manual_review
C:\Program Files\BCUninstaller\runtimes,C:\Program Files,2,1454824,1.39 MB,directory,manual_review
C:\Program Files\Git\etc,C:\Program Files,2,1447601,1.38 MB,directory,manual_review
C:\Program Files\Microsoft OneDrive\StandaloneUpdater,C:\Program Files,2,1312548,1.25 MB,directory,manual_review
C:\Program Files\HP\HpHwDiag,C:\Program Files,2,1227071,1.17 MB,directory,manual_review
C:\Program Files\Cheat Engine 7.5\include,C:\Program Files,2,1186186,1.13 MB,directory,manual_review
C:\Program Files (x86)\Online Services,C:\Program Files (x86),1,1172909,1.12 MB,directory,manual_review
C:\Program Files\Cisco Packet Tracer 8.2.2\templates,C:\Program Files,2,1151473,1.10 MB,directory,manual_review
C:\Program Files\Wireshark\radius,C:\Program Files,2,1129622,1.08 MB,directory,manual_review
C:\Program Files (x86)\Online Services\Amazon,C:\Program Files (x86),2,1051439,1.00 MB,directory,manual_review
